"name","economy","cylinders","displacement","power","weight","acceleration","year","economy_20mpg"
"Volkswagen Rabbit Custom Diesel",43.1,4,90.0,48,1985,21.5,78,1
"Volkswagen Rabbit Custom",29.0,4,97.0,78,1940,14.5,77,1
"Volkswagen Rabbit Custom",31.900000000000002,4,89.0,71,1925,14.0,79,1
"Volkswagen Rabbit L",36.0,4,105.0,74,1980,15.3,82,1
"Volkswagen Rabbit",29.0,4,90.0,70,1937,14.0,75,1
"Volkswagen Rabbit",29.0,4,90.0,70,1937,14.200000000000001,76,1
"Volkswagen Rabbit",29.5,4,97.0,71,1825,12.200000000000001,76,1
"Volkswagen Rabbit",41.5,4,98.0,76,2144,14.700000000000001,80,1
"Volkswagen Scirocco",31.5,4,89.0,71,1990,14.9,78,1
"Volkswagen Super Beetle 117",,4,97.0,48,1978,20.0,71,
"Volkswagen Super Beetle",26.0,4,97.0,46,1950,21.0,73,1
"Volkswagen Type 3",23.0,4,97.0,54,2254,23.5,72,1
"Volvo 144EA",19.0,4,121.0,112,2868,15.5,73,0
"Volvo 145E (Wagon)",18.0,4,121.0,112,2933,14.5,72,0
"Volvo 244DL",22.0,4,121.0,98,2945,14.5,75,1
"Volvo 245",20.0,4,130.0,102,3150,15.700000000000001,76,0
"Volvo 264GL",17.0,6,163.0,125,3140,13.600000000000001,78,0
"Volvo Diesel",30.700000000000003,6,145.0,76,3160,19.6,81,1
